siteID,site_group,site_num,Fluoride,Chloride,Nitrite,Bromide,NitrateN,PhosphateP,Sulfate,NH4N
Al_1,Al,1,.,11.12,.,0.06,0.13,0.02,45.36,0.01
Al_2,Al,2,.,10.63,.,0.05,0.04,0.01,54.14,0.01
Al_3,Al,3,.,11.93,.,0.05,0.06,0.08,47.94,0.01
Al_4,Al,4,.,.,.,.,.,.,.,.
Al_5,Al,5,.,10.62,.,0.04,0.12,0.03,41.7,0.01
Al_6,Al,6,.,11.85,.,0.05,0.02,0.05,46.2,0.07
Al_7,Al,7,.,9.86,.,0.05,0.07,0.02,44.12,0.01
Al_8,Al,8,.,13.54,.,0.05,0.11,0.03,45.31,0.02
Al_9,Al,9,.,14.41,.,0.06,0.08,0.02,49.27,0.05
Al_10,Al,10,.,.,.,.,.,.,.,.
Al_11,Al,11,.,13.15,.,0.06,0.13,0.05,44.38,0.01
Al_12,Al,12,.,15,.,0.05,0.04,0.04,43.75,0.03
Al_13,Al,13,.,.,.,.,.,.,.,.
Al_14,Al,14,.,13.11,.,0.06,0.08,0.04,44.32,0.01
Al_15,Al,15,.,6.36,.,0.04,0.11,0.06,37.93,0
Al_16,Al,16,.,7.22,.,0.04,0.07,0.05,37.03,0.01
Al_17,Al,17,.,8.66,.,0.06,0.08,0.03,46.48,0.01
Al_18,Al,18,.,3.9,.,0.04,0.1,0.07,18.09,0.03
Al_19,Al,19,.,5.96,.,0.04,0.1,0.04,40.74,0.02
Al_20,Al,20,.,4.46,.,0.02,0.08,0.01,29.06,0.02
Al_21,Al,21,.,14.25,.,0.05,0.03,0.02,104.76,0
Al_22,Al,22,.,14.48,.,0.07,0.02,0.02,95.72,0
Al_23,Al,23,.,15.89,.,0.06,0.04,0.01,130.61,0
Al_24,Al,24,.,12.04,.,0.03,0.25,0.03,43.93,0.06
Al_25,Al,25,.,17.03,.,0.07,0.02,0.02,111.86,0
Al_26,Al,26,.,11.05,.,0.05,0.04,0.03,85.75,0
Al_27,Al,27,.,10.43,.,0.04,0.13,0.02,33.93,0
Al_28,Al,28,.,11.6,.,0.05,0.02,0.01,54.3,0
Al_29,Al,29,.,11.15,.,0.04,0.11,0.03,36.24,0
Al_30,Al,30,.,8.15,.,0.03,0.09,0.02,32.91,0.02
Al_31,Al,31,.,10.6,.,0.05,0.04,0.02,37.5,0
Al_32,Al,32,.,8.39,.,0.03,0.07,0.01,33.51,0
Al_33,Al,33,.,18.51,.,0.06,0.05,0.02,50.83,0.01
Al_34,Al,34,.,21.63,.,0.07,0.17,0.03,51.55,0.01
Al_35,Al,35,.,15.11,.,0.07,0.1,0.02,43.4,0.02
Al_36,Al,36,.,17.5,.,0.06,0.11,0.02,49.3,0.01
Al_37,Al,37,.,19.44,.,0.08,0.16,0.04,50.17,0.01
Al_38,Al,38,.,16.71,.,0.08,0.13,0.02,47.45,0.01
Al_39,Al,39,.,6.03,.,0.02,0.1,0.02,25.74,0
Al_40,Al,40,.,9.54,.,0.05,0.06,0.02,47.72,0
Al_41,Al,41,.,10.61,.,0.08,0.16,0.01,48.77,0
Al_42,Al,42,.,9.08,.,0.04,0.06,0.02,45.88,0
Al_43,Al,43,.,10.5,.,0.04,0.13,0.02,50.38,0
Al_44,Al,44,.,10.38,.,0.05,0.1,0.04,48.24,0
Al_45,Al,45,.,4.36,.,0.03,0.08,0.04,34.11,0.01
Al_46,Al,46,.,3.65,.,0.04,0.02,0.04,32.55,0
Al_47,Al,47,.,4.29,.,0.03,0.08,0.03,34.27,0.01
Al_48,Al,48,.,9.01,.,0.04,0.07,0,39.19,0.02
Al_49,Al,49,.,4.13,.,0.03,0.01,0.02,33.94,0.01
Al_50,Al,50,.,4.68,.,0.04,0.07,0.03,34.99,0
Al_51,Al,51,.,9.86,.,0.02,0.17,0.05,41.39,0
Al_52,Al,52,.,9.25,.,0.05,0.1,0.07,42.82,0
Al_53,Al,53,.,10.01,.,0.01,0.24,0.01,42.14,0
Al_54,Al,54,.,9.99,.,0.05,0.06,0.01,47.95,0
Al_55,Al,55,.,9.37,.,0.03,0.16,0.03,42.79,0
Al_56,Al,56,.,9.36,.,0.04,0.15,0.04,42.01,0
Bg_1,Bg,1,,10.69,,0.05,0.08,0.01,42.6,0.01
